17 1
0 1 0 
0 1 0 
1 0 0 
1 0 0 
0 0 1 
0 1 0 
1 0 0 
1 0 0 
0 1 0 
0 0 1 
0 0 1 
0 0 1 
0 0 1 
0 1 0 
0 0 1 
0 1 0 
0 0 1 

0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 

0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 

1 2 2 
0 0 0 
0 0 0 

0 0 0 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 0 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

0 1 0 
0 0 0 
0 0 0 

0 1 0 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

0 0 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

0 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 0 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

1 1 0 
0 0 0 
0 0 0 

1 1 0 
0 0 0 
0 0 0 

1 1 0 
0 0 0 
0 0 0 

0 1 1 
0 0 0 
0 0 0 

1 1 1 
0 0 0 
0 0 0 

0 V01
1 V02
2 V03
3 V04
4 V05
5 V06
6 V07
7 V08
8 V09
9 V10
10 V11
11 V12
12 V13
13 V14
14 V15
15 V16
16 V17
